"","Skin.Type","Gender","Age","Lighting","Corruption","Severity","Service","sum_AP","n"
"297","Lighter","Feminine","19-45","Dim","glass-blur",4,"GCP",455.326732673267,458
"298","Lighter","Feminine","19-45","Dim","glass-blur",5,"AWS",459.831683168317,461
"299","Lighter","Feminine","19-45","Dim","glass-blur",5,"Azure",458.514851485149,461
"300","Lighter","Feminine","19-45","Dim","glass-blur",5,"GCP",455.326732673267,458
"301","Lighter","Feminine","19-45","Dim","motion-blur",1,"AWS",459.831683168317,461
"302","Lighter","Feminine","19-45","Dim","motion-blur",1,"Azure",460.50495049505,461
"303","Lighter","Feminine","19-45","Dim","motion-blur",1,"GCP",455.663366336634,458
"304","Lighter","Feminine","19-45","Dim","motion-blur",2,"AWS",459.831683168317,461
"305","Lighter","Feminine","19-45","Dim","motion-blur",2,"Azure",459.009900990099,461
"306","Lighter","Feminine","19-45","Dim","motion-blur",2,"GCP",455.831683168317,458
"307","Lighter","Feminine","19-45","Dim","motion-blur",3,"AWS",459.831683168317,461
"308","Lighter","Feminine","19-45","Dim","motion-blur",3,"Azure",456.509900990099,461
"309","Lighter","Feminine","19-45","Dim","motion-blur",3,"GCP",451.084158415842,458
"310","Lighter","Feminine","19-45","Dim","motion-blur",4,"AWS",458.49504950495,461
"311","Lighter","Feminine","19-45","Dim","motion-blur",4,"Azure",454.935643564356,461
"312","Lighter","Feminine","19-45","Dim","motion-blur",4,"GCP",446.589108910891,458
