"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"365","0-2","Female","elastic-transform",1,"TinaFace",287.35396039604,619
"366","0-2","Female","elastic-transform",1,"Yolov5",342.676798679868,684
"367","0-2","Female","elastic-transform",2,"AWS",127.540594059406,684
"368","0-2","Female","elastic-transform",2,"Azure",160.272772277228,684
"369","0-2","Female","elastic-transform",2,"GCP",249.782178217822,682
"370","0-2","Female","elastic-transform",2,"MogFace",167.329207920792,684
"371","0-2","Female","elastic-transform",2,"TinaFace",67.3475247524752,619
"372","0-2","Female","elastic-transform",2,"Yolov5",164.322529467232,684
"373","0-2","Female","elastic-transform",3,"AWS",477.149339933993,684
"374","0-2","Female","elastic-transform",3,"Azure",605.386633663366,684
"375","0-2","Female","elastic-transform",3,"GCP",655.4,682
"376","0-2","Female","elastic-transform",3,"MogFace",618.841419141914,684
"377","0-2","Female","elastic-transform",3,"TinaFace",511.214356435643,619
"378","0-2","Female","elastic-transform",3,"Yolov5",542.264469589816,684
"379","0-2","Female","elastic-transform",4,"AWS",434.855940594059,684
"380","0-2","Female","elastic-transform",4,"Azure",590.119306930693,684
"381","0-2","Female","elastic-transform",4,"GCP",637.343564356436,682
"382","0-2","Female","elastic-transform",4,"MogFace",603.74900990099,684
"383","0-2","Female","elastic-transform",4,"TinaFace",418.017821782178,619
"384","0-2","Female","elastic-transform",4,"Yolov5",521.345627062706,684
"385","0-2","Female","elastic-transform",5,"AWS",257.55396039604,684
"386","0-2","Female","elastic-transform",5,"Azure",530.728712871287,684
"387","0-2","Female","elastic-transform",5,"GCP",449.321782178218,682
"388","0-2","Female","elastic-transform",5,"MogFace",558.985643564356,684
"389","0-2","Female","elastic-transform",5,"TinaFace",57.6133663366337,619
"390","0-2","Female","elastic-transform",5,"Yolov5",457.229300287171,684
"391","0-2","Female","pixelate",1,"AWS",519.889108910891,684
"392","0-2","Female","pixelate",1,"Azure",658.240099009901,684
"393","0-2","Female","pixelate",1,"GCP",677.527227722772,682
"394","0-2","Female","pixelate",1,"MogFace",673.757920792079,684
"395","0-2","Female","pixelate",1,"TinaFace",555.981188118812,619
"396","0-2","Female","pixelate",1,"Yolov5",589.4050330033,684
"397","0-2","Female","pixelate",2,"AWS",506.363861386139,684
"398","0-2","Female","pixelate",2,"Azure",655.542079207921,684
"399","0-2","Female","pixelate",2,"GCP",677.779207920792,682
"400","0-2","Female","pixelate",2,"MogFace",672.197194719472,684
"401","0-2","Female","pixelate",2,"TinaFace",542.261386138614,619
"402","0-2","Female","pixelate",2,"Yolov5",580.772937293729,684
"403","0-2","Female","pixelate",3,"AWS",468.504125412541,684
"404","0-2","Female","pixelate",3,"Azure",637.619306930693,684
"405","0-2","Female","pixelate",3,"GCP",676.50297029703,682
"406","0-2","Female","pixelate",3,"MogFace",661.880528052805,684
"407","0-2","Female","pixelate",3,"TinaFace",357.259405940594,619
"408","0-2","Female","pixelate",3,"Yolov5",530.135148514851,684
