"","Age","Gender","Corruption","Severity","Service","sum_AP","n"
"283","0-18","Male","defocus-blur",5,"AWS",1556.41089108911,2136
"284","0-18","Male","defocus-blur",5,"Azure",1735.57425742574,2132
"285","0-18","Male","defocus-blur",5,"GCP",1318.76732673267,2133
"286","0-18","Male","glass-blur",1,"AWS",2081.42574257426,2136
"287","0-18","Male","glass-blur",1,"Azure",2107.4,2132
"288","0-18","Male","glass-blur",1,"GCP",2101.59405940594,2133
"289","0-18","Male","glass-blur",2,"AWS",2060.11881188119,2136
"290","0-18","Male","glass-blur",2,"Azure",2095.21485148515,2132
"291","0-18","Male","glass-blur",2,"GCP",2068.41089108911,2133
"292","0-18","Male","glass-blur",3,"AWS",1731.88448844884,2136
"293","0-18","Male","glass-blur",3,"Azure",1936.46534653465,2132
"294","0-18","Male","glass-blur",3,"GCP",1813.86138613861,2133
"295","0-18","Male","glass-blur",4,"AWS",1655.18316831683,2136
"296","0-18","Male","glass-blur",4,"Azure",1888.78217821782,2132
"297","0-18","Male","glass-blur",4,"GCP",1665.03630363036,2133
"298","0-18","Male","glass-blur",5,"AWS",1437.28712871287,2136
"299","0-18","Male","glass-blur",5,"Azure",1719.60891089109,2132
"300","0-18","Male","glass-blur",5,"GCP",1461.78217821782,2133
"301","0-18","Male","motion-blur",1,"AWS",2094.46848184818,2136
"302","0-18","Male","motion-blur",1,"Azure",2111.89108910891,2132
"303","0-18","Male","motion-blur",1,"GCP",2113.62574257426,2133
"304","0-18","Male","motion-blur",2,"AWS",2048.67623762376,2136
"305","0-18","Male","motion-blur",2,"Azure",2072.26732673267,2132
"306","0-18","Male","motion-blur",2,"GCP",2090.11881188119,2133
"307","0-18","Male","motion-blur",3,"AWS",1886.65346534653,2136
"308","0-18","Male","motion-blur",3,"Azure",1899.91419141914,2132
"309","0-18","Male","motion-blur",3,"GCP",1963.62871287129,2133
"310","0-18","Male","motion-blur",4,"AWS",1476.75247524752,2136
"311","0-18","Male","motion-blur",4,"Azure",1485.07920792079,2132
"312","0-18","Male","motion-blur",4,"GCP",1648.55940594059,2133
"313","0-18","Male","motion-blur",5,"AWS",1153.90099009901,2136
"314","0-18","Male","motion-blur",5,"Azure",1158.63861386139,2132
